locality,zone,infrastructure,area_sqft,distance_highway_km,distance_city_center_km,distance_water_km,distance_metro_km,ownership_changes,years_held,legal_disputes,flood_zone,near_metro,near_tech_park,price_sqft,total_price,asking_price
Vijayanagar,residential,good,2319.1,7.04,5.73,5.08,1.81,2,23,1,0,0,0,6618.82,15349660.72,17132316.08
Marathahalli,commercial,excellent,3712.7,4.81,16.21,2.71,2.86,1,11,0,0,0,1,10119.48,37570681.94,47188541.0
Anekal,agricultural,poor,2340.8,5.76,33.14,6.15,2.56,2,24,0,0,0,0,982.35,2299481.39,2290259.17
Nagawara,residential,good,4291.3,7.36,8.32,1.51,0.34,3,6,0,0,1,0,6383.49,27393372.75,26956107.52
KR Puram,residential,good,3946.3,3.27,12.63,3.5,3.21,0,24,0,0,0,0,5111.73,20172421.88,25839045.52
Thanisandra,residential,good,3252.7,3.15,9.9,1.58,2.29,2,16,0,0,0,0,6809.87,22150338.57,23476604.31
Vasanth Nagar,residential,excellent,1680.0,7.17,4.74,2.68,2.47,2,3,0,0,0,0,16813.08,28245427.71,35101679.67
Anekal,agricultural,poor,7158.6,7.78,36.26,6.45,2.61,3,10,1,0,0,0,752.23,5384964.33,4256874.01
JP Nagar,residential,excellent,4380.9,8.1,10.0,6.24,0.46,0,2,0,0,1,0,11973.82,52456640.02,56305124.55
KR Puram,residential,good,12562.7,2.8,16.07,5.95,1.51,2,20,0,0,0,0,4427.93,55626607.88,48674817.46
Bommanahalli,residential,good,10977.6,8.57,14.04,1.58,1.12,6,19,0,0,1,0,4484.89,49233350.33,48531819.69
Yelahanka,residential,good,2511.8,1.06,20.21,1.7,1.34,2,22,0,0,1,0,5785.89,14532958.9,17095405.31
KR Puram,residential,good,4152.7,1.62,13.45,3.99,1.52,3,1,0,0,0,0,4506.29,18713201.28,19894960.2
Shivajinagar,commercial,excellent,1405.1,4.04,4.28,0.72,0.31,2,8,0,0,1,1,16636.25,23374931.59,24208366.03
Sarjapur Road,residential,good,2249.3,11.32,19.13,4.77,1.22,0,23,0,0,1,1,6179.47,13899615.83,11548012.31
HSR Layout,residential,excellent,1149.4,7.15,9.99,0.63,1.98,0,21,0,0,0,1,10656.56,12249043.95,9976133.09
Brigade Road,commercial,excellent,12890.9,3.57,0.5,6.85,3.85,6,3,1,0,0,1,16813.42,216740202.2,285920921.97
Sadashivanagar,residential,excellent,4898.1,6.34,5.85,7.83,2.64,1,14,0,0,0,0,15477.39,75809731.13,71462147.35
Thanisandra,residential,good,3010.3,6.53,14.33,4.8,1.99,2,5,0,0,0,0,5358.98,16132221.01,15286206.62
Bellary Road,commercial,excellent,2710.1,1.04,12.28,5.34,2.91,1,11,1,0,0,1,8754.58,23725424.05,23332958.73
Bellandur,residential,good,2872.7,6.94,15.33,2.21,4.19,2,6,1,0,0,0,5147.41,14786983.27,19287257.31
Attibele,industrial,poor,1269.1,4.28,30.04,5.51,2.94,3,14,0,0,0,1,1117.65,1418430.05,1733307.09
Anekal,agricultural,poor,1297.4,8.4,34.97,4.61,1.57,1,8,0,0,0,0,1057.65,1372206.99,1733626.11
Bellandur,residential,good,12226.5,7.06,14.55,3.12,0.78,1,5,0,0,1,0,6966.4,85174363.17,82788682.12
Richmond Town,residential,excellent,4560.2,6.97,2.23,6.73,1.64,0,11,0,0,0,0,17038.47,77698300.18,65890879.55
Electronic City,industrial,good,2250.1,3.12,21.97,0.51,2.47,0,17,0,0,0,1,4053.47,9120875.3,12024887.91
Yelahanka,residential,good,14513.5,6.23,18.62,0.83,3.36,1,10,0,1,0,0,4532.26,65779005.23,88546815.91
Mahadevapura,residential,good,1442.3,4.12,15.49,2.55,4.54,3,24,1,1,0,0,4522.55,6522812.27,5501696.03
Peenya,industrial,average,1471.9,1.51,11.24,3.3,2.39,1,13,0,0,0,1,4058.09,5973016.76,4817665.88
Rajajinagar,residential,excellent,1555.4,3.18,8.44,7.81,4.26,3,21,0,0,0,0,9656.94,15020581.76,20023671.55
Hoodi,residential,good,1814.1,4.62,11.7,3.21,2.0,0,17,0,0,0,0,6631.78,12030953.96,13442577.13
Sadashivanagar,residential,excellent,4776.6,4.75,5.69,7.81,1.33,5,1,0,0,1,0,14774.79,70573556.85,55611757.23
Frazer Town,residential,excellent,1320.5,7.31,6.04,4.39,3.24,2,5,0,0,0,0,10720.57,14156783.47,11386972.48
Mahadevapura,residential,good,2139.8,6.17,16.49,3.15,3.92,1,6,0,0,0,0,5342.88,11432862.75,10143091.34
Vijayanagar,residential,good,3318.4,6.67,10.12,1.67,0.8,1,18,0,0,1,0,7559.66,25086146.24,26008512.37
Attibele,industrial,poor,1483.2,3.33,30.54,1.98,3.3,1,11,0,0,0,1,1236.88,1834597.25,2281006.37
Peenya,industrial,average,2716.9,3.76,11.41,5.18,4.32,2,16,0,0,0,1,3289.37,8936755.62,8981877.84
Electronic City,industrial,good,6967.3,3.46,22.06,3.79,1.31,0,20,0,0,1,1,5556.64,38714956.33,35368121.85
Banashankari,residential,excellent,4589.9,9.53,8.81,1.74,1.67,2,3,0,0,0,0,7856.55,36060678.94,37396473.07
Mahalakshmi Layout,residential,good,6049.0,5.26,8.27,1.19,2.89,1,4,0,0,0,0,8072.68,48831410.39,49756491.18
Hoodi,residential,good,2343.2,6.59,15.06,1.58,2.5,2,20,0,0,0,0,4659.48,10918306.09,11063443.36
Yeshwanthpur,commercial,good,3750.5,0.98,5.0,6.15,4.67,3,8,0,0,0,1,8274.05,31031766.51,40191256.26
JP Nagar,residential,excellent,2925.8,10.44,11.62,0.32,2.54,1,19,0,0,0,0,8166.42,23893054.03,21147899.81
Yelahanka,residential,good,2905.8,2.88,15.47,7.01,4.48,0,20,0,0,0,0,5264.84,15298644.72,16586806.96
Bannerghatta Road,residential,good,4419.4,5.12,14.59,0.65,4.76,2,8,0,0,0,0,5836.82,25795365.33,23443525.17
Attibele,industrial,poor,1468.1,4.02,30.21,6.55,1.41,0,22,0,0,1,1,1524.62,2238238.41,2720522.05
Bannerghatta Road,residential,good,4979.3,5.26,13.98,1.86,0.32,0,19,0,0,1,0,7157.39,35638578.48,28632932.15
Frazer Town,residential,excellent,3178.0,4.19,2.57,1.67,1.22,3,10,0,0,1,0,14415.41,45811605.68,45679029.83
HSR Layout,residential,excellent,1021.4,9.89,11.36,5.89,3.85,0,10,0,0,0,1,10769.53,11000091.57,13504111.37
Devanahalli,agricultural,average,1449.4,2.35,34.42,2.34,1.5,1,22,0,0,1,0,1754.39,2542850.49,1960715.95
Sadashivanagar,residential,excellent,17725.7,7.91,5.07,1.85,4.61,0,4,1,0,0,0,14855.8,263329540.89,295284535.57
BTM Layout,residential,excellent,4568.4,9.34,8.97,7.52,3.72,1,19,0,0,0,0,9584.13,43783891.13,40399962.28
Kadugodi,residential,average,4254.1,7.06,19.76,4.14,3.04,4,3,0,0,0,0,2988.69,12714239.49,13526098.35
Basaveshwara Nagar,residential,good,2185.7,3.89,10.58,5.83,4.61,2,5,0,0,0,0,5542.28,12113994.16,12082800.01
Bannerghatta Road,residential,good,9519.8,6.16,14.42,3.19,4.91,2,22,0,0,0,0,5588.25,53199005.14,66379444.12
Anekal,agricultural,poor,913.4,4.77,32.75,4.6,2.63,3,1,1,0,0,0,916.17,836876.33,653205.77
Marathahalli,commercial,excellent,1078.2,2.34,14.77,6.02,4.46,2,18,0,0,0,1,8005.7,8631450.11,11437613.74
Hoodi,residential,good,3741.5,2.21,16.21,4.35,2.54,0,18,0,0,0,0,5484.82,20521651.66,22515649.81
Richmond Town,residential,excellent,790.6,6.15,2.48,7.39,1.86,0,4,0,0,0,0,18360.72,14515896.25,11531930.37
Koramangala,commercial,excellent,14577.0,8.36,5.59,6.24,3.27,1,4,0,0,0,1,19697.31,287127969.06,295911636.13
Lavelle Road,residential,excellent,9953.0,6.13,1.77,1.4,1.46,2,5,0,0,1,0,24574.04,244585852.19,228589761.31
Nagarbhavi,residential,good,1098.9,7.26,10.84,2.5,2.97,2,6,0,0,0,0,4708.5,5173971.99,6033494.38
Electronic City,industrial,good,800.1,3.73,21.05,3.69,2.22,1,17,0,0,0,1,4756.75,3806019.97,4100906.49
MG Road,commercial,excellent,3350.3,7.05,0.5,5.03,4.66,2,19,0,0,0,1,25989.63,87073108.58,90465037.48
JP Nagar,residential,excellent,795.2,10.46,11.03,7.71,2.42,0,23,1,0,0,0,8972.95,7135511.67,8491828.77
Yeshwanthpur,commercial,good,2641.8,2.82,7.51,7.54,1.09,2,1,0,0,1,1,7814.43,20644434.11,26703061.72
Anekal,agricultural,poor,825.4,7.15,35.06,7.99,1.35,0,13,0,0,1,0,1252.37,1033694.18,1101984.09
Whitefield,commercial,excellent,9548.0,6.92,14.84,1.79,2.78,1,16,0,0,0,1,9541.62,91103647.51,111972669.57
Chandapura,residential,average,2929.1,7.5,23.32,4.57,2.68,2,7,0,0,0,0,2302.97,6745695.8,5823068.95
Jayanagar,residential,excellent,884.7,7.55,6.03,6.12,2.9,0,21,0,0,0,0,10747.8,9508847.54,7445056.72
Attibele,industrial,poor,3050.0,6.25,29.75,1.41,3.15,0,14,0,0,0,1,1258.12,3837232.5,3289131.82
Kanakapura Road,residential,good,13991.4,8.28,15.44,1.78,3.4,5,22,0,0,0,0,3849.53,53860387.33,52018350.03
Tumkur Road,industrial,average,3754.0,2.71,15.09,5.75,0.39,2,6,0,0,1,1,3418.63,12833631.67,10416784.42
Bellandur,residential,good,2948.8,4.41,14.29,0.53,1.35,0,12,0,0,1,0,7010.38,20671912.49,27033564.35
Jayanagar,residential,excellent,3736.5,8.61,8.93,0.29,3.89,5,1,0,0,0,0,10068.32,37620545.92,42070941.89
Anekal,agricultural,poor,1256.8,7.23,34.08,1.4,3.78,3,15,0,0,0,0,847.88,1065616.61,1419055.15
Richmond Town,residential,excellent,3255.6,6.88,5.3,1.91,2.48,0,18,0,0,0,0,17056.29,55528610.93,49699203.96
Kanakapura Road,residential,good,679.6,8.11,14.09,5.6,4.94,2,15,0,0,0,0,4519.65,3071381.93,3692607.03
Frazer Town,residential,excellent,4835.4,6.22,2.34,4.26,4.26,2,7,1,0,0,0,10356.16,50076298.52,41812877.03
Bellary Road,commercial,excellent,2950.2,2.58,8.9,2.44,0.96,1,4,0,1,1,1,10323.99,30458224.51,29673340.48
Kalyan Nagar,residential,good,4336.1,7.26,6.16,2.14,2.45,1,16,0,0,0,0,6074.19,26338057.28,27894110.39
Nagarbhavi,residential,good,1141.2,6.37,10.79,6.31,4.73,2,9,0,0,0,0,5417.9,6183095.29,8084382.13
Hoskote,agricultural,poor,4956.8,3.2,31.32,4.47,0.99,0,24,0,0,1,0,1324.02,6562858.99,6811454.19
Shivajinagar,commercial,excellent,1817.5,4.99,3.99,7.57,1.55,1,24,0,0,0,1,17442.22,31700471.61,28698480.77
Carmelaram,residential,average,3357.5,6.23,18.0,2.38,4.32,5,13,0,0,0,0,2857.82,9595226.44,9452282.76
Banashankari,residential,excellent,2721.0,11.2,10.31,5.46,1.54,2,5,0,0,0,0,8591.85,23378530.52,25556716.98
Jakkur,residential,good,814.6,2.65,14.15,0.5,2.62,2,6,0,0,0,0,5997.12,4885374.74,5441913.01
Shivajinagar,commercial,excellent,3366.4,3.26,1.36,2.86,1.07,0,18,0,1,1,1,19423.37,65386317.74,59419460.99
Jakkur,residential,good,773.6,1.63,11.89,2.34,0.45,1,1,0,0,1,0,6270.3,4851001.51,3899423.07
Bannerghatta Road,residential,good,3361.4,7.19,12.27,7.93,4.66,1,1,0,0,0,0,6235.33,20959346.04,26981023.71
Hebbal,residential,excellent,1494.8,3.94,10.14,2.61,4.67,2,11,1,0,0,1,7850.56,11735348.99,14224559.32
Tumkur Road,industrial,average,1648.6,0.3,16.1,0.96,1.6,1,20,0,0,0,1,2975.62,4905615.4,6267645.0
Yelahanka,residential,good,2400.8,4.93,18.32,2.76,2.66,1,7,0,0,0,0,5043.01,12107281.48,12083611.1
Mahadevapura,residential,good,7131.6,7.81,15.15,6.32,4.85,1,20,0,0,0,0,5585.53,39833571.66,36171655.03
Shivajinagar,commercial,excellent,4355.7,5.47,7.06,5.82,0.58,0,23,0,0,1,1,18104.74,78857970.11,64758671.34
ITPL,commercial,excellent,11639.8,5.72,17.34,2.72,3.06,0,23,1,0,0,1,8963.46,104333189.12,132870303.84
Jakkur,residential,good,2081.2,5.5,14.91,1.09,4.67,1,12,0,0,0,0,5000.91,10407938.77,13416095.68
Bellandur,residential,good,3794.1,7.61,16.72,0.5,3.37,0,7,0,0,0,0,6985.67,26504401.77,22048543.56
Bellandur,residential,good,2390.9,7.66,19.02,2.52,0.58,1,8,0,0,1,0,6825.01,16318069.26,16038904.64
Kogilu,residential,good,2661.5,5.79,14.19,3.16,3.06,4,9,0,0,0,0,4013.8,10682914.72,12488231.64
BTM Layout,residential,excellent,12615.2,11.13,10.94,4.58,0.89,2,24,0,0,1,0,9533.46,120266078.76,144649085.42
Kanakapura Road,residential,good,14726.0,8.28,14.35,4.54,1.32,1,21,0,0,1,0,5565.56,81958258.63,71518065.45
Malleshwaram,residential,excellent,3182.9,5.89,4.94,1.76,1.67,2,3,0,0,0,0,10553.71,33591571.37,39876188.9
Electronic City,industrial,good,3201.2,6.4,21.92,7.6,3.86,1,2,0,0,0,1,4153.74,13296788.63,14744818.59
Electronic City,industrial,good,2506.2,4.06,18.43,3.2,1.15,0,22,0,0,1,1,5889.96,14761164.06,11359534.48
Chandapura,residential,average,778.3,8.09,25.95,2.25,4.93,1,2,0,0,0,0,2448.92,1906011.67,2374999.98
HBR Layout,residential,good,1742.0,7.44,10.69,6.97,2.04,0,4,1,0,0,0,5425.56,9451275.91,11192646.79
Indiranagar,residential,excellent,1368.3,7.1,9.86,0.89,0.41,0,2,0,0,1,0,15184.33,20776217.2,21676637.28
Koramangala,commercial,excellent,4602.2,9.31,8.94,6.68,0.54,2,13,0,0,1,1,20456.95,94146394.45,91317167.08
Whitefield,commercial,excellent,2024.8,7.51,18.63,2.58,1.48,3,13,0,0,1,1,8752.48,17721980.19,22304882.15
Sadashivanagar,residential,excellent,1325.7,6.96,5.39,0.57,3.88,2,6,1,0,0,0,15396.46,20410548.94,19706847.07
Banashankari,residential,excellent,1099.7,8.84,12.22,2.21,1.19,2,1,0,0,1,0,9655.41,10618348.59,13097346.68
Devanahalli,agricultural,average,4911.1,2.39,35.23,2.77,4.68,1,6,0,0,0,0,1421.41,6980645.94,6226884.14
Hoskote,agricultural,poor,6454.0,4.95,30.68,1.17,1.23,4,13,0,0,1,0,1219.99,7873822.86,8889365.89
Jakkur,residential,good,4849.4,4.95,13.59,4.77,1.82,2,19,0,0,0,0,5684.37,27565782.38,37175226.12
Doddanekundi,commercial,good,963.8,5.37,13.51,3.95,2.99,2,4,0,0,0,1,7142.8,6884577.54,7813502.04
Nagawara,residential,good,15185.8,4.02,7.7,2.33,2.78,0,19,0,0,0,0,7901.08,119984056.31,149555868.14
Brookefield,residential,excellent,12796.3,4.24,14.88,3.68,4.36,1,15,1,0,0,0,6391.68,81789948.76,79665874.09
Attibele,industrial,poor,10750.1,7.19,29.97,1.02,1.89,2,23,0,0,0,1,1344.74,14456157.15,19161023.91
Yelahanka,residential,good,2241.1,3.84,19.49,7.09,2.75,3,10,0,1,0,0,4339.06,9724249.56,12838904.93
Doddanekundi,commercial,good,3748.1,4.52,15.2,7.53,4.7,1,20,0,0,0,1,6212.61,23285539.56,20715730.83
Kalyan Nagar,residential,good,1107.0,5.57,8.77,4.48,1.31,1,21,0,0,1,0,6920.22,7660572.79,9943884.62
MG Road,commercial,excellent,1557.7,5.04,0.64,5.04,3.3,5,22,0,0,0,1,22130.88,34473002.19,26111173.15
Mahalakshmi Layout,residential,good,2813.5,7.02,8.16,2.85,1.47,5,13,0,0,1,0,6512.05,18321489.44,19713657.08
Kogilu,residential,good,836.1,3.37,14.82,2.42,3.56,1,12,1,0,0,0,4348.05,3635616.49,4355610.45
Kogilu,residential,good,4984.4,5.63,16.36,0.52,0.77,0,13,0,0,1,0,5732.06,28571141.49,30774631.94
Shivajinagar,commercial,excellent,1352.6,7.14,2.68,1.15,4.65,0,15,0,1,0,1,14672.45,19845656.9,18865589.77
Devanahalli,agricultural,average,1935.4,2.65,36.72,6.19,4.5,0,4,0,0,0,0,1554.3,3008246.31,3957356.36
Basavanagudi,residential,excellent,729.7,8.62,7.61,3.76,3.84,2,23,0,0,0,0,9450.33,6896294.31,8840961.96
Attibele,industrial,poor,1374.8,5.47,26.87,2.31,2.62,3,20,0,0,0,1,1502.28,2065334.87,1831955.62
